SUBJECT	 TRIAL	 SOUND	 RT
13	 1	 tt1t25n_2500.wav	 1.470736
13	 2	 tt1tp5n_3500.wav	 1.863640
13	 3	 tt1t1n_3250.wav	 1.653956
13	 4	 tt1t6f_5750.wav	 3.391084
13	 5	 tt1t6n_750.wav	 1.979325
13	 6	 tt1t2n_2750.wav	 1.735015
13	 7	 tt1t3n_2250.wav	 1.754644
13	 8	 tt1t15n_3000.wav	 1.667659
13	 9	 tt1t25f_7500.wav	 2.698007
13	 10	 tt1t1f_8250.wav	 1.976599
13	 11	 tt1t3f_7250.wav	 2.348439
13	 12	 tt1t2f_7750.wav	 1.954897
13	 13	 tt1t15f_8000.wav	 2.118657
13	 14	 tt1tp5f_8500.wav	 1.687640
13	 15	 tt1tp5f_8500.wav	 1.501915
13	 16	 tt1t1f_8250.wav	 1.897359
13	 17	 tt1t3f_7250.wav	 2.421065
13	 18	 tt1tp5n_3500.wav	 1.454117
13	 19	 tt1t15f_8000.wav	 1.900373
13	 20	 tt1t6f_5750.wav	 1.839958
13	 21	 tt1t1n_3250.wav	 1.683472
13	 22	 tt1t25n_2500.wav	 1.524361
13	 23	 tt1t6n_750.wav	 1.111735
13	 24	 tt1t15n_3000.wav	 1.339283
13	 25	 tt1t25f_7500.wav	 1.446637
13	 26	 tt1t2f_7750.wav	 1.543410
13	 27	 tt1t3n_2250.wav	 1.498944
13	 28	 tt1t2n_2750.wav	 1.414405
13	 29	 tt1t2f_7750.wav	 2.036475
13	 30	 tt1t25f_7500.wav	 1.568070
13	 31	 tt1tp5f_8500.wav	 1.443854
13	 32	 tt1t15n_3000.wav	 1.737602
13	 33	 tt1t25n_2500.wav	 1.405129
13	 34	 tt1t3n_2250.wav	 1.480646
13	 35	 tt1t6n_750.wav	 1.529402
13	 36	 tt1t2n_2750.wav	 1.524684
13	 37	 tt1t15f_8000.wav	 1.288149
13	 38	 tt1tp5n_3500.wav	 1.384904
13	 39	 tt1t1f_8250.wav	 1.524277
13	 40	 tt1t3f_7250.wav	 1.522382
13	 41	 tt1t6f_5750.wav	 1.629915
13	 42	 tt1t1n_3250.wav	 1.449355
13	 43	 tt1t15f_8000.wav	 1.893020
13	 44	 tt1t2f_7750.wav	 1.808378
13	 45	 tt1t3n_2250.wav	 1.697340
13	 46	 tt1t25f_7500.wav	 2.279320
13	 47	 tt1t15n_3000.wav	 1.896289
13	 48	 tt1t25n_2500.wav	 1.705152
13	 49	 tt1t2n_2750.wav	 1.650190
13	 50	 tt1t1n_3250.wav	 1.314823
13	 51	 tt1tp5n_3500.wav	 1.163669
13	 52	 tt1tp5f_8500.wav	 1.753675
13	 53	 tt1t3f_7250.wav	 2.471725
13	 54	 tt1t6f_5750.wav	 1.678133
13	 55	 tt1t1f_8250.wav	 1.654977
13	 56	 tt1t6n_750.wav	 1.093204
13	 57	 tt1tp5n_3500.wav	 1.045786
13	 58	 tt1t25n_2500.wav	 1.099645
13	 59	 tt1t6f_5750.wav	 1.351087
13	 60	 tt1t2f_7750.wav	 1.746650
13	 61	 tt1t3f_7250.wav	 1.715357
13	 62	 tt1t1f_8250.wav	 1.657783
13	 63	 tt1t6n_750.wav	 1.418454
13	 64	 tt1t25f_7500.wav	 1.189843
13	 65	 tt1t15n_3000.wav	 1.692038
13	 66	 tt1t3n_2250.wav	 1.554087
13	 67	 tt1t15f_8000.wav	 1.936218
13	 68	 tt1t2n_2750.wav	 1.462402
13	 69	 tt1t1n_3250.wav	 1.415159
13	 70	 tt1tp5f_8500.wav	 1.439886
13	 71	 tt1tp5f_8500.wav	 1.285930
13	 72	 tt1tp5n_3500.wav	 1.518632
13	 73	 tt1t1f_8250.wav	 1.746300
13	 74	 tt1t25f_7500.wav	 1.832358
13	 75	 tt1t1n_3250.wav	 1.748074
13	 76	 tt1t2f_7750.wav	 1.818178
13	 77	 tt1t15f_8000.wav	 1.829485
13	 78	 tt1t2n_2750.wav	 1.955891
13	 79	 tt1t6f_5750.wav	 1.122028
13	 80	 tt1t15n_3000.wav	 1.277452
13	 81	 tt1t3f_7250.wav	 1.707427
13	 82	 tt1t6n_750.wav	 1.103067
13	 83	 tt1t25n_2500.wav	 1.114183
13	 84	 tt1t3n_2250.wav	 1.125591
13	 85	 tt1t25n_2500.wav	 1.232835
13	 86	 tt1t15f_8000.wav	 1.641607
13	 87	 tt1tp5f_8500.wav	 1.458380
13	 88	 tt1t3f_7250.wav	 1.776567
13	 89	 tt1t2n_2750.wav	 1.305286
13	 90	 tt1t3n_2250.wav	 1.364733
13	 91	 tt1tp5n_3500.wav	 1.138749
13	 92	 tt1t6n_750.wav	 1.413942
13	 93	 tt1t6f_5750.wav	 1.420125
13	 94	 tt1t25f_7500.wav	 1.636838
13	 95	 tt1t15n_3000.wav	 1.442931
13	 96	 tt1t2f_7750.wav	 1.707887
13	 97	 tt1t1f_8250.wav	 1.559520
13	 98	 tt1t1n_3250.wav	 1.522751
13	 99	 tt1t1f_8250.wav	 1.603449
13	 100	 tt1t1n_3250.wav	 1.049660
13	 101	 tt1t6f_5750.wav	 1.133095
13	 102	 tt1t2f_7750.wav	 1.597606
13	 103	 tt1t3n_2250.wav	 2.016979
13	 104	 tt1t6n_750.wav	 1.671182
13	 105	 tt1tp5n_3500.wav	 1.138545
13	 106	 tt1t15f_8000.wav	 1.427415
13	 107	 tt1t3f_7250.wav	 2.046716
13	 108	 tt1t25f_7500.wav	 2.002302
13	 109	 tt1t25n_2500.wav	 1.661856
13	 110	 tt1tp5f_8500.wav	 1.580078
13	 111	 tt1t2n_2750.wav	 1.348785
13	 112	 tt1t15n_3000.wav	 1.584302
13	 113	 tt1t2f_7750.wav	 1.750498
13	 114	 tt1t15f_8000.wav	 1.791314
13	 115	 tt1tp5n_3500.wav	 2.149330
13	 116	 tt1t15n_3000.wav	 1.713081
13	 117	 tt1t25n_2500.wav	 1.119383
13	 118	 tt1t25f_7500.wav	 1.250461
13	 119	 tt1t6f_5750.wav	 2.331251
13	 120	 tt1t1n_3250.wav	 1.756191
13	 121	 tt1t1f_8250.wav	 1.586419
13	 122	 tt1tp5f_8500.wav	 1.480417
13	 123	 tt1t3f_7250.wav	 2.006489
13	 124	 tt1t2n_2750.wav	 1.645097
13	 125	 tt1t6n_750.wav	 1.279926
13	 126	 tt1t3n_2250.wav	 1.102302
13	 127	 tt1t3n_2250.wav	 1.062657
13	 128	 tt1t1f_8250.wav	 1.159376
13	 129	 tt1t15f_8000.wav	 1.642652
13	 130	 tt1tp5f_8500.wav	 1.315471
13	 131	 tt1t3f_7250.wav	 1.942882
13	 132	 tt1t6n_750.wav	 1.093160
13	 133	 tt1t2f_7750.wav	 1.613983
13	 134	 tt1t2n_2750.wav	 1.110606
13	 135	 tt1t25f_7500.wav	 1.116818
13	 136	 tt1t6f_5750.wav	 1.997299
13	 137	 tt1t15n_3000.wav	 1.521002
13	 138	 tt1t25n_2500.wav	 1.233589
13	 139	 tt1t1n_3250.wav	 1.684789
13	 140	 tt1tp5n_3500.wav	 1.115225
